,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
2349,"Installed electric capacity in Kenya has increased from 1,768 MW in March 2013 to the current 2,712 MW",Not Enough Evidence,"In June 2018, Kenya's installed electricity capacity was 2351MW.",2019-04-04,,,
2350,"Over 175,000 Kenyans have already registered under the voluntary scheme known as Boma Yangu.",Supported,"186,256 is over 175,000",2019-04-04,,,
2351,"In 2018, provisional estimates show the Kenya economy grew by 6.1%.",Conflicting Evidence/Cherrypicking,The answer shows varying values of growth and none of them is specific to the value in the claim,2019-04-04,"Uhuru Kenyatta, C.G.H., President Of The Republic Of Kenya",State of the Nation address 2019,KE
2352,Kenya's aggressive push of this [universal access to basic education] agenda has this year seen us achieve 100% transition rate,Refuted,it did not reach as high as 100%,2019-04-04,Uhuru Kenyatta,,KE
2353,"In 2018, provisional estimates show the Kenyan economy grew by 6.1%.",Supported,Both the claim estimate and quoted estimate are close enough to be called supported. ,2019-04-04,,,
2354,2.5 million passengers have travelled using Madaraka Express since its inception in May 2018.,Supported,"Numbers add up to in excess of amount stated in claim. (2.5m claim vs 2,590,709.",2019-04-04,Uhuru Kenyatta,,KE
2355,Kenyan economy outperformed the average global growth the five years between 2013 and 2017.,Supported,the question-answer pair provide enough information to support the claim,2019-04-04,Uhuru Kenyatta,,KE
2356,"The micro, small and medium enterprises sector employs approximately 14.9 million Kenyans.",Supported,The second Q&A shows that the claim is correct in the numbers so the claim is supported.,2019-04-04,Uhuru Kenyatta,2019 State of the Nation Address,KE
2357,"Kenya has made tremendous gain over the last six years, with the number of electricity connections rising from 2.2 million in March 2013 to 7.1 million as at March 2019.",Supported,The Q&As match the figures in the claim so the claim is supported. The figures are slightly off but are still close enough to support.,2019-04-04,Uhuru Kenyatta,Republic of Kenya,KE
2358,"Kenya has made tremendous gains over the last 6 years, with the number of electricity connections rising from 2.2 million in March 2013 to 7.1 million as at March 2019.",Supported,"The annual reports from Kenya Power support the numbers claimed, as does the more recent statement from their spokesman.",2019-04-04,Kenya President Uhuru Kenyatta,President Republic of Kenya,KE
2359,"Over 175,000 Kenyans have already registered under the voluntary housing scheme known as ‘boma yangu.",Supported,The first Q&A show that there are over 175 thousand people who are registered so the claim is supported.,2019-04-04,Uhuru Kenyatta,,KE
2360,"Over 175,000 Kenyans have already registered under the voluntary scheme known as boma yangu.",Supported,"186,256 have registered",2019-04-04,"Uhuru Kenyatta, C.G.H., President Of The Republic Of Kenya",State of the Nation address 2019,KE
2361,"Kenyan installed electricity capacity has increased from 1,768 MW in March 2013 to the current 2,712 MW.",Not Enough Evidence,There was no question for the data on 2019 and also no answer could be found for the data on 2013 so there's no way to tell if the claim is true or false,2019-04-04,Uhuru Kenyatta,Republic of Kenya,KE
2362,2.5 million passengers have travelled using Madaraka Express between its inception in May 2017 and April 2019.,Not Enough Evidence,The latest data shown in the Q&A's is 2018 which shows the 2 millionth passenger was reconised as Rose Mbogo however the claim date is almost 6 months later so many more would have travelled on the railway but no up to date figures are shown,2019-04-04,Uhuru Kenyatta,,KE
2363,Kenya is outperforming the average global growth.,Supported,"Q&A 1 shows that the claim covers a five year period in years leading to 2019 which Q&A 6  shows an average economic growth figure of 4.36& for Kenya,
Q&A 2 shows the average global growth was only 3.04 % which is lower than Kenya as is claimed.",2019-04-04,"Uhuru Kenyatta, C.G.H., President Of The Republic Of Kenya",State of the Nation address 2019,KE
2364,The Kenyan government’s push of the universal access to basic education agenda has seen a 100% transition rate from primary to secondary school being achieved in 2019.,Refuted,The highest transition rate recorded was 94% ,2019-04-04,Uhuru Kenyatta,2019 State of the Nation Address,KE
2365,"in Kenya, installed capacity (Installed capacity is the capacity of all the power plants if they run at 100%.) has increased from 1,768 MW in March 2013 to the current 2,712 MW.",Supported,"Q&A 1 shows Kenya did have a peak demand of about 2,370 MW around the time of the claim which is close to the claimed 2.7. the Q&A also supports the claim about it being an increase form around the 1.7 mw claimed which is only .1 mw off",2019-04-04,Kenya President Uhuru Kenyatta,President Republic of Kenya,KE
2366,2.5 million passengers have travelled using Kenyan Madaraka Express since its inception in May 2018.,Supported,"Madaraka Express' three years cumulative is 699,055 in 2017  1,665,627 in 2018 and first two months of 2019 recorded 226,027 . This is  a figure slightly above 2.5 million. ",2019-04-04,Uhuru Kenyatta,Republic of Kenya,KE
2367,"Since April 2013, more than KSh1.7 trillion shillings has been transferred to the counties.",Refuted,Refuted by figures stated in QA pairs.,2019-04-04,Uhuru Kenyatta,,KE
2368,"Kenya's Installed capacity has increased from 1,768 MW in March 2013 to the current 2,712 MW",Supported,It is evidently clear that Kenya's Installed capacity keeps increasing from  March 2013. Although the Q&A Pair stopped at 2018. ,2019-04-04,"Uhuru Kenyatta, C.G.H., President Of The Republic Of Kenya",State of the Nation address 2019,KE
2369,The Kenyan economy grew 6.1% in 2018.,Refuted,the economy grew 5.65% not 6.1 so this isn't correct,2019-04-04,Uhuru Kenyatta,,KE
2370,"In 2018, provisional estimates show the Kenyan economy grew by 6.1%.",Conflicting Evidence/Cherrypicking,QA pairs vary between 5-6%,2019-04-04,Uhuru Kenyatta,Republic of Kenya,KE
2371,Since its inception 3.881 million tonnes of cargo have been transported on the standard-gauge railway line in Kenya.,Not Enough Evidence,Doesn't come to a definitive conclusion.,2019-04-04,Uhuru Kenyatta,2019 State of the Nation Address,KE
2372,Not all North Caroline teachers get a duty free lunch break.,Supported,It seems the current legislation has a goal of providing a duty free lunch break instead of guaranteeing it. ,2019-04-03,,,
2373,The UAE has banned three-month tourist visas for Nigerians,Refuted,While restrictions are being imposed there is no mention of a ban on 3 month tourist visas for Nigerians visiting UAE.,2019-04-03,Kayode Ogundamisi,Twitter,AE
2374,NATO States Sending Ukraine’s Navy ‘Junk’ Vessels,Refuted,"Some of the vessels are old, but all are modernisedd. ",2019-04-03,Andrei Koshkin,RIA Novosti,UA
2375,More than 6 lakh high-risk pregnancies identified.,Supported,"The source provided a figure of more than 7 lakh women with high risk pregnancies, therefore this confirms the claim. ",2019-04-03,"Ministry of Health & Family Welfare (MoHFW), Government of India",https://pmsma.nhp.gov.in/about-scheme/,IN
2376,More than a million Wisconsinites have voted to raise their own property taxes because Republicans have failed to fully fund our public schools for the past eight years,Not Enough Evidence,Its not clear from the Q&A if people have actually voted to raise their own taxes. So the claim does not have enough evidence. ,2019-04-03,,,
2377,80.63 lakh pregnant women immunized,Supported,True,2019-04-03,"Ministry of Health & Family Welfare (MoHFW), Government of India",https://pmsma.nhp.gov.in/about-scheme/,IN
2378,more than 50 lakh pregnant women expected to benefit every year with cash incentive of 6000 rupees,Conflicting Evidence/Cherrypicking,"!st Q&A pair state the monetary  amount in claim is about correct,  But 2nd Q&A pair say the amount of women is less than 50 lakh, not more than 50 as claimed (almost 4 thousand less!)",2019-04-03,"Ministry of Health & Family Welfare (MoHFW), Government of India",https://pmsma.nhp.gov.in/about-scheme/,IN
2379,80.63 lakh pregnant women have been immunized in India by August 2018.,Supported,Evidence shows that the number of immunized women is more than the estimate in the claim ,2019-04-02,BJP government in India,,IN
2380,"India has validated elimination of maternal and neo-natal tetanus in May 2015, before the global target of December 2015.",Supported,The answers and credible sources show that the MNTE was validated in May 2015 so the claim is supported.,2019-04-02,BJP government in India,,IN
2381,3.15 crore children vaccinated in India by August 2018.,Supported,7.78 Crore children were vaccinated for Japanese Encephalitis alone in India as of 2018,2019-04-02,BJP government in India,,IN
2382,Donald trump claims Mexico only this week started to detain thousands of Central Americans at its southern border.,Refuted,"Seems that people have been getting detained throughout, therefore the label is refuted ",2019-04-02,Donald trump,Twitter,US
2383,"Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before.",Refuted,The answers show that 120 billion is the highest amount of aid given so the claim is refuted.,2019-04-02,Donald Trump,Twitter,US
2384,"Democratic Rep. Alexandria Ocasio-Cortez said, “Attorneys don’t know much about the law as lawyers do and Ben Shapiro is just an attorney. So, yeah.”",Refuted,"This claim is false.
Ocasio-Cortez had never made this statement.
 
Source attached -

https://checkyourfact.com/2019/04/10/fact-check-facebook-ocasio-cortez-ben-shapiro-attorney/",2019-04-02,Alexandria Ocasio-Cortez,,US
2385,"Mission Indradhanush (ensuring full immunisation with all available vaccines for children up to two years of age and pregnant women), has completed four phases covering 528 districts in India.",Supported,I have supported this claim as even though the number is higher it supports that at least 528 states have been completed.,2019-04-02,BJP government in India,,IN
2386,US senators being consulted about circuit court judicial nominees in their home states was a long standing requirement.,Supported,Confirmed as a requirement since the 1910s in QA pair.,2019-04-02,Charles E Schumer,Politico,
2387,There is a link between a rise in thyroid cancer in women and the improper use of protective equipment during mammograms.,Not Enough Evidence,It is quite hard to answer the claim with that answer-question pair. The wording is quite difficult,2019-04-01,,Facebook and Instagram,US
2388,"Senator Kamala Harris’s presidential campaign has raised $12 million from more than 218,000 individual contributions in the first quarter of 2019. 98 percent of Harris’s contributions were under $100 .",Not Enough Evidence,There's no evidence about the level of contributions gotten during the campaign ,2019-04-01,The presidential campaign of Sen. Kamala D. Harris (D-Calif.),Email from the presidential campaign of Sen. Kamala D. Harris (D-Calif.),US
2389,William T. Thompson designed the Confederate flag.,Conflicting Evidence/Cherrypicking,"It seems that there were three versions of the Confederate flag, the design of one which seems to have had involvement of both William T. Thompson and William Porcher Miles.  ",2019-04-01,Sherman A Jones,Facebook,US
2390,Since 1973 the income of the bottom 90% of Americans didn't budge.,Refuted,"The Q&A pair state that data for the period in the claim in unavailable, and best available data concludes a worse outcome than stated",2019-04-01,,,
2391,"During Ukraine's presidential election in 2019, the current electoral process bypassed the Donbas side, and no presidential election will be held, polling stations are open only on the territory of Donetsk and Luhansk regions controlled by Kyiv.",Refuted,"Seems that these regions were not bypassed. Therefore, the claim is refuted",2019-04-01,Russian Deputy Minister of the Foreign Affairs Grigory Karasin, RIA Novosti,RU
2392,L.A Rapper YG Shot 4 Times In Drive By Shooting,Refuted,The publication of the statement was on a prank website that has subsequently taken the story down and admitted it was a 'bad joke'.,2019-04-01,,React365,US
2393,Eight professionals leave South Africa for every one that comes in.,Not Enough Evidence,"Q&A 1 and 2 show the difficulties of recording the data shown in the claim saying for every one professional  that enters South Africa * professionals leave, and the statistics used were from self-declared emigration, so more accurate data is needed , but form Q&A''s that data does not likely exist at the time of the claim.",2019-04-01,Johannes Wessels,Money Show,ZA
2394,President Donald Trump wants to abolish the pre-existing conditions protections within the U.S Affordable Care Act (ACA).,Supported,"Trump had his own ideas on how he wanted to improve lives for Americans, so proposed changes to the ACA ",2019-03-31,Bernie Sanders (Senator),CBS News 'Face The Nation Show',US
2395,"President Donald Trump wants to change the  Affordable Care Act (ACA) protections, abolishing health insurance for kids who are 26 years of age or younger who are currently on their parents plans, which will throw 32 million Americans off their current health insurance.",Conflicting Evidence/Cherrypicking,"Q&A 1 shows that as claimed Trump did want to chance the ACA (act).
Q&A 3 shows the claim figure of 32 million is about right as thenumber of uninsured would be 32 million individuals over ten years.
However the claim part about  trump doing this would abolish health insurance for kids who are 26 years of age or younger who are currently on their parents plans is wrong as Q&A 5 shows this not to be effected by a change to the ACA. so some conflicting evidence to the claim.",2019-03-31,Bernie Sanders (Senator),CBS News 'Face The Nation Show',US
2396,"When Winston Churchill was asked to cut arts funding in favour of the war effort, he simply replied, ‘then what are we fighting for?",Refuted,this wasn't recorded as being said by him at all. ,2019-03-31,,Facebook,GB
2397,"United Nations Secretary-General Antonio Guterres has called on Nigeria to ""start teaching the Biafran anthem to your citizens now"".",Refuted,"The source is known for fake news, and it is a common knowledge that United Nations Secretary-General Antonio Guterres has nothing to do with Biafra or Biafran anthem.  Therefore this claim is not true. ",2019-03-30,Oluchi Obiakor,Facebook,NG
2398,People living in Labour councils pay on average £351 less council tax than those living in Tory councils.,Conflicting Evidence/Cherrypicking,"this is true, that the labour council tax is lower, but it isn't necessarily set by the council in that area ",2019-03-30,The Labour party ,Twitter,GB
2399,The House of Commons has little more than 635 employees.,Refuted,the House of Commons ... is made up for a total of 650 seats. There are approximately 3000 staff in the Commons working to support and improve the work of Parliament. Student placements are also available.,2019-03-29,,Facebook,GB
2400,"19% of WVians rely on SNAP,"" or food stamps.",Refuted,The data in Q2 contradicts the claim.,2019-03-29,Joe Manchin,Twitter @San_JoeManchin,US
2401,"This year alone, MPs have cost the British taxpayer £92,993,748 in expenses.",Refuted,"in the year of this claim, the expenses were not even close to 35 million. ",2019-03-29,,Facebook,GB
2402,"A double taxation avoidance agreement was signed between India and three new countries, which are: Mauritius, Cyprus, and Singapore.",Conflicting Evidence/Cherrypicking,"Questions fail to identify India the words ""with India"" need adding at the end.
The date the claim was made needs establishing, none of these are new signings. If the claim was news then the facts refute it, but agreements do exist with these countries.",2019-03-28,,,IN
2403,"The U.S. has created 5.5 million new jobs, including 600,000 brand new manufacturing jobs, since Donald Trump's election. Nobody would have believed that was possible.",Refuted,Although the total number of jobs are close to the claim the amount of jobs in manufacturing are off by over 20%. (Should have been separated into 2 separate claims?),2019-03-28,Donald Trump,,US
2404,"The US Trump administration passed massive tax cuts, the biggest in the history of the country",Refuted,The source is a credible one and shows that there were other administrations that made bigger tax cuts and so the claim is refuted.,2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2405,"President Donald Trump will get full funding of $300 million for the Great Lakes Restoration Initiative, which the program has been waiting 30 years for.",Refuted,It seems that the system was implemented by president Obama therefore the claim is refuted ,2019-03-28,Donald Trump,"Rally in Grand Rapids, Michigan",US
2406,"In the US, more manufacturing jobs were created in 2018 than any year in 21 years",Supported,"Before 2018, the last time there was an increment in the number of jobs created was in 1997 and the time difference is 21 years ",2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2407,President Donald Trump revitalizing automobile industries that were decimated before he took office.,Refuted,The answers and sources show that the automobile industry was already on the rise before Donald Trump was president so the claim is refuted.,2019-03-28,Donald Trump,"Rally in Grand Rapids, Michigan",US
2408,"Since US President Trump's election in November 2016, 600,000 new  manufacturing jobs have been created.",Not Enough Evidence,"It seems that there is no answer to question 1. Therefore, there is not enough evidence to deduce how many jobs have been created overall.",2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2409,There is an agreement on real time information sharing between India and Switzerland.,Supported,The answer and source shows that there is an agreement between India and Switzerland and so the claim is supported.,2019-03-28,,,IN
2410,Bluegill fish are responsible for over 500 peoples deaths in the United States of America every summer.,Refuted,"From the 2nd QA it seems that the blluegill fish is not harmful to humans. therefore, the claim is refuted",2019-03-28,,Facebook viral images text,US
2411,"America's Fox News shows beat their average performance, as their CNN and MSNBC counterparts plunged on March 26 and 27, 2019.",Supported,Associated Press reported on the official audience ratings.,2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2412,"Founding father Thomas Jefferson said, “A government big enough to give you everything you want is strong enough to take everything you have.”",Refuted,"Seems that thomas Jefferson did not make this quote, therefore the claim is refuted",2019-03-28,,,
2413,"In the last two years The U.S. Immigration and Customs Enforcement officers have made 266,000 arrests of criminal aliens…including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, 4,000 kidnappings, and 4,000 murders.",Conflicting Evidence/Cherrypicking,The claim is misleading as the comparison between number of arrests does not correlate directly with the number of crimes - as one person might have committed multiple crimes. ,2019-03-28,US President Donald Trump,"Grand Rapids, Michigan political rally",US
2414,"Since US President Trump's election in November 2016, 5.5 million new jobs have been created.",Supported,"The number in the answer, 5.38million is close enough",2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2415,"A generation ago, 37 cents out of every US food dollar went into a farmer’s pocket. Today, it’s 15 cents.",Conflicting Evidence/Cherrypicking,"This claim has conflicting evidence. According to the QA pairs, the claim is correct to state that ""37 cents out of every US food dollar went into a farmer's pocket"" as a 2015 Congressional Research Service report,  indicates that the farm share was about 37 cents in the 1970-1980 period. However, the claim that ""today it's 15 cents"" seems to be false, as the actual number is 7.8 cents- which is significantly lower. Therefore, this claim has conflicting evidence.",2019-03-28,Elizabeth Warren,Twitter,US
2416,US President Trump's political opponents launched the probe into Russia's presidential election interference as revenge for losing the 2016 election.,Not Enough Evidence,"The claim states that Trumps political opponents - ""launched"" the probe into Russia's presidential election interference. Question 3 also relates to - who did ""launch a probe."" The answer to question 3 states  - Senate Democratic leader ""did call"" for a congressional probe. It is not addressed who initiated or began the process. Also there is no reference to the latter part of the claim - ""as revenge for losing the 2016 election"" in any of  answers.   ",2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2417,The U.S. Immigration and Customs Enforcement (ICE)  removed thousands of  gang members,Supported,The official numbers do show that thousands of gang members were removed from the US.,2019-03-28,US President Donald Trump,"Grand Rapids, Michigan political rally",US
2418,The US Great Lakes Initiative is to receive full funding of $300 million after a more than 30 years wait.,Refuted,The initiative had been receiving over $300 million per year since 2010. ,2019-03-28,US President Donald Trump,"Grand Rapids, Michigan political rally",US
2419,"In 2018, US drug prices  declined for the first time in 46 years.",Refuted,Contrary to the claim there was price increase for drugs ,2019-03-28,US President Donald Trump ,"Grand Rapids, Michigan political rally",US
2420,Under Donald Trump presidency there will always be protection for patients with pre-existing conditions.,Not Enough Evidence,"The fist QA pair states trumps move to strike down the affordable care act which COULD effect and undermine the pre-existing  condition act.

Other QA pairs state he plans to replace it Healthcare reform to make America great again but does elaborate on Pre-existing coverage under that act.",2019-03-28,Donald Trump,"Rally in Grand Rapids, Michigan",US
2421,"A generation ago, 37 cents out of every food dollar went into a farmer’s pocket. Today, it’s 15 cents.",Not Enough Evidence,No evidence to support the 15cents claim.,2019-03-27,Elizabeth Warren,Twitter,US
2422,Uganda’s President Yoweri Museveni said trees in Finland can take 120 years to mature.,Supported,The answer and source show that the president did say the quote so the claim is supported.,2019-03-27,,,
2423,"“In 2017, there were more marijuana arrests in this country than all violent crime arrests combined.”",Supported,"From the evidence found, marijuana arrests were higher than all violent crime arrests, with over 659,700 people arrested for marijuana possession in 2017 compared to 518,617 arrests for violent crimes. Hence, the claim is supported.",2019-03-27,Cory Booker,,
2424,"“Jokowi administration offers Bogor city to China.""",Refuted,According to the second QA pairs an official source the Indonesian information ministry released a statement to directly dismiss the claim made saying it was fabricated.,2019-03-27,,k0mpasinf0.blogspot.com,ID
2425,"In 2017, there were more marijuana arrests in this country than all violent crime arrests combined.",Supported,Correct based on number in provided in the QA pairs.,2019-03-27,Cory Booker,CNN,US
2426,Robert Soros (Son of George Soros) is married To Sister of Adam Schiff.,Refuted,Adam Schiff was an only child.  Robert Soros divorced  Melissa Schiff in 2014 according to listed source.,2019-03-27,Craig McAninch,Facebook,US
2427,"In 2017, there were more marijuana arrests in the US, than all violent crime arrests combined.",Supported," 659,700
-518,617 = 141,083 more marijuana related arrests.

",2019-03-27,Cory Booker,CNN,US
2428,Police in Thailand can issue fines to anyone who does not wear a face mask in public during the novel coronavirus pandemic.,Refuted,Confirmed Fake news.,2019-03-26,Chainarong Meetemruk,Facebook,TH
2429,"President Trump immediately dropped American sanctions against Russia after his election,",Refuted,Did not drop the sanctions.,2019-03-26,,,
2430,Prime Minister Narendra Modi tops the list of 50 most honest politicians that was released in the USA.,Refuted,Modi did not top the list (he was 5th) and the source of the list is not validated.,2019-03-26,,Facebook,US
2431,Nudist beach to open soon on Lake Texoma in Marshall County.,Refuted,The answer refutes the claim as fake news.,2019-03-25,,Channel 45 News,US
2432,"South Africa’s official opposition party, the Democratic Alliance (DA), launched its election manifesto in Johannesburg on 23 February 2019.",Supported,The manifesto was delivered at the Rand stadium in Johannesburg,2019-03-25,,,ZA
2433,Eight Democratic candidates ‘boycott’ the AIPAC conference,Supported,The answer and source give the 8 names of the people who boycotted the conference so the claim is supported.,2019-03-25,,,
2434,"In summary of Robert Mueller's report Bill Barr concludes that Special Counsel Robert Mueller stated, ""while this report does not conclude that the President committed a crime, it also does not exonerate him.”",Supported,"Evidence find that the report did state ""while this report does not conclude that the President committed a crime, it also does not exonerate him."" Therefore, the report does not accuse or exonerate President Trump. ",2019-03-24,Bill Barr,,US
2435,The Council on American-Islamic Relations was founded in response to 9/11.,Refuted,"Both questions are quite useful in answering the claim. Since the CAIR was founded in 1994, the claim label is clearly refuted.",2019-03-23,Ilhan Omar,,US
2436,An estimated 1 million people marched for a People's vote on Saturday 23rd March.,Refuted,"It seems from the question and answer apir that indeed there had not been 1mln people who have cast a vote. Therefore, the claim is refuted",2019-03-23,People's Vote,Twitter,GB
2437,"CAIR was founded after 9/11, because they recognized that some people did something and that all of us were starting to lose access to our civil liberties",Refuted,"The 2nd Q&A pair point out that the founding date was before 9/11 which is not what is claimed.
However neither the 1st or 2nd Q&A pair mention details about the loss of civel liberties being the cause for the CAIR being founded, with the 2nd Q&A pair stating it was founded to support HAMAS's agendas  in the US, which again is not the reason for CAIR's founding given in the claim.",2019-03-23,Ilhan Omar,Youtube,US
2438,"The 2019 DMK parliamentary Manifesto says that: ‘People occupying encroached Temple lands will be regularized and ownership transferred’, ‘Encroached Wakf properties will be reclaimed and handed over to wakf’",Refuted,The manifesto does not mention temple lands at all.,2019-03-22,Madhu Purnima Kishwar,Twitter,IN
2439,"America’s life expectancy has declined for the last three years in a row, the first time in a hundred years, because of surges in suicides and drug overdoses.",Supported,Confirmed via CDC and figures.,2019-03-22,Andrew Yang,Youtube,US
2440,The UK and US have exported no vaccines.,Refuted,The QA source link to reliable media reports refuting the claim statement.,2019-03-21,Alex Taylor,Twitter,FR
2441,American middle schools caught forcing students to do Muslim prayers 5 times a day.,Refuted,The captions of the original photographs reveal that the children are practising safety procedures in case of tornados.,2019-03-20,Bloggers,,US
2442,"President Donald Trump gave John McCain the kind of funeral he wanted, which as president he had to approve but got no thanks for.",Conflicting Evidence/Cherrypicking,"Evidence doesn't show what John McCain's personal funeral wishes were, therefore that is not possible to verify. Certainly US President Trump authorised some parts of the arrangements, including some requests by the McCain family, but the evidence does point out some pressure was put on the president to make some decisions, like flying the flag half-staff for example.",2019-03-20,President Donald Trump,New York Times,US
2443,Nigeria has ‘100 million generators in private hands’.,Not Enough Evidence,No answered provided to draw a conclusion,2019-03-20, Bongani Bingwa ,702 Podcasts,
2444,Women in Russia get paid less than men for the same work.,Supported,"The 1st Q&A pair state that women in Russia are paid 20.5% less than men in Russia, which is supportive of the claim saying women in Russia get paid less than men.
The Q&A  states this is just an average,  but this means it covers more work types thus supporting the 'same job' part of the claim.",2019-03-20,Tamara Pletneva,RIA Novosti,RU
2445,United States G.D.P is above 3 percent for the first time in fourteen years but the press took odd months and said it was 2.9.,Refuted,2.9 is calculated based on the real GDP rather than the odd months.,2019-03-20,President Donald Trump,New York Times,US
2446,"For four years President Obama budgeted for zero upgrades to U.S tanks which affected U.S military readiness and slashed the work force by sixty percent at manufacturing plants in Lima, Ohio.",Refuted,The president did provide money for the upgrade of tanks and also enough for the sustainability of the tank plant in Lima,2019-03-20,President Donald Trump,New York Times,US
2447,The Insolvency and Bankruptcy Code has led to significant results in India.,Refuted,From Q.2 it looks as though the Insolvency and Bankruptcy Code has not led to significant results in India. ,2019-03-20,BJP,Indian Government,IN
2448,"The gross domestic product grew 3.1 percent in 2018, after adjusting for inflation.",Supported,"There is a statistically negligible difference in the figures, between what was gotten and what was claimed. Since it is negligible the claim is true. ",2019-03-20,Donald Trump,,US
2449,Russia has a lower prison population than America because of the presence of telephone justice in Russia,Conflicting Evidence/Cherrypicking,"The claim is correct about the US having a larger prison population than Russia, However there is no link to the reason for it being down solely to telephone justice in Russia ",2019-03-20,,,
2450,The Indian Government has approved Public Sector Banks to amalgamate through an alternative mechanism to facilitate consolidation,Supported,Q&A 2 shows that yes the  Indian Government has approved Public Sector Banks to amalgamate through an alternative mechanism to facilitate consolidation as is claimed.,2019-03-20,BJP,Indian Govt.,IN
2451,"Illegal immigrants to the USA kill 4,000 people per year.",Refuted,"There is no nationwide data on crimes committed specifically by “illegal immigrants”. However, the alleged number of Americans killed as stated in this claim is much higher than any available information on crime.",2019-03-19,Steve Reichert,Facebook,US
2452,"West Virgina has fewer science, technology, engineering and math graduates than any neighbouring state.",Supported,"It looks that West Virginia did have the lowest STEM graduates (30,421) compared to neighboring states - the closest state in numbers was Kentucky (47, 143). ",2019-03-19,President E. Gordon Gee,West Virginia University,US
2453,People who are vaccinated against chickenpox need to keep getting boosters.,Refuted,"Even though 2 doses are recommended, only 1 booster is needed. So this claim about needing to keep getting boosters is not correct. ",2019-03-19,US Kentucky Gov. Matt Bevin,"nterviews with WKCT, a talk radio station in Kentucky US",US
2454,Fewer than 500 people a year in the USA are killed by rifles.,Supported,"This claim is supported. According to the QA pairs, the FBI crime statistics claim that 364 people were murdered by rifles in 2019. This is fewer than 500 in the stated claim. Therefore, this claim is supported.",2019-03-19,Steve Reichert,Facebook,US
2455,Natural chickenpox infection in childhood will have 99.999 percent no long-term repercussions.,Refuted,Individuals are at risk of having Shingles if they have had Chickenpox earlier in life ,2019-03-19,US Kentucky Gov. Matt Bevin,"Interviews with WKCT, a talk radio station in Kentucky US",US
2456,Sen. Kirsten Gillibrand has the most votes against Donald Trump cabinet nominees,Supported,True,2019-03-18,Kirsten Gillibrand,,US
2457,50% of Americans agree that Robert Mueller’s investigation is a Witch Hunt.,Supported,Confirmed at 50.3%,2019-03-18,Donald Trump,Twitter,US
2458,Nigeria generates over 62 million tonnes of waste a year,Refuted,the answer of 42 million tonnes is not close enough to 62 million tonnes to confirm this claim. ,2019-03-16,,Guardian ,
2459,50%of all school teachers in Texas (US) are working second or third jobs.,Refuted,The Q&A shows that the statistic is wrong and nowhere near the figure stated. So the claim is refuted.,2019-03-15,2020 presidential candidate Beto O’Rourke,"remarks in Mount Pleasant, Iowa",US
2460,Each person [in Nigeria] generates an average of 0.65 kg of waste per day,Supported,The average daily per capita household waste generation is 0.634kg/capita/day.,2019-03-15,,Guardian ,
2461,POLITICS Nigeria HAS Won Over 700 Medals In The Last 3 year,Refuted,It seems that Nigeria has won not even 10 medals. Therefore the claim is refuted,2019-03-15,,Facebook,NG
2462,No one in Mid Ulster speaks Irish as their first language.,Refuted,The 3rd q&a pair clearly show that there are people in Mid Ulster that speak Irish (gaelic) so the claim is refuted.,2019-03-15,Clement Cuthbertson,Belfast News Letter,GB
2463,Wall Street got a trillion dollar bail out in 2008.,Refuted,Bail out was approximately 70% of that stated in claim.,2019-03-15,Bernie Sanders,,US
2464,Lagos has an estimated 21 million inhabitants,Conflicting Evidence/Cherrypicking,Too much variance in numbers quoted in the answers.,2019-03-14,,Guardian,
2465,The Indian government has issued an order against sharing political posts online.,Refuted,Evidence finds this to be fake. ,2019-03-14,,"Facebook, Twitter, WhatsApp, Instagram",IN
2466,Images of the new Indian e-passport.,Refuted,The design hasn't been released and India doesn't have an E-passport yet,2019-03-14,Dr Irfan Ahmed Khan,Facebook,IN
2467,Senator Thom Tillis changes position on President Trump's national emergency declaration for border wall funding,Supported,It seems from the 2nd and 3rd QAs that the claim is indeed supported,2019-03-14,,,
2468,sodium bicarbonate (baking soda) can cure cancer.,Refuted,Scientists say that Sodium Bicarbonate does not work as a treatment for any form of cancer ,2019-03-13, Tullio Simoncini,Facebook,US
2469,"Joe biden said The Trump budget cuts $845 billion, almost a trillion dollar cut in Medicare.",Refuted,Sees that the cut that Trump is doing is less than what is claimed. Therefore the label is refuted,2019-03-12,Joe Biden ,In a speech to the International Association of Fire Fighters:,US
2470,Donald Trump says Jews are leaving the Democratic Party,Not Enough Evidence,I cannot determine if Jewish people are leaving/have left the Democratic Party because the questions do not address whether the percentage of Jewish people voting for Democrats has changed over a period of time (they only look at a fixed point in time - 2018 - stating that more Jewish people voted for Democrats than Republicans - this may or may not be less than in previous years).,2019-03-12,President Donald Trump,Twitter,US
